,product,category,brand,mrp,sp,discount,sku,description,url
107,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,38.75,31.00,20,10000176,Ridge Gourd,/pd/10000176/fresho-ridge-gourd-500-g/
108,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,75.00,60.00,20,10000175,Ridge Gourd,/pd/10000175/fresho-ridge-gourd-1-kg/
109,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,75.00,60.00,20,10000175,Ridge Gourd,/pd/10000175/fresho-ridge-gourd-1-kg/
110,fruits-vegetables,Organic Vegetables,Fresho,12.50,10.00,20,50000509,Ginger - Organically Grown,/pd/50000509/fresho-ginger-organically-grown-100-g/
111,fruits-vegetables,Organic Vegetables,Fresho,50.00,40.00,20,40023476,Potato - Organically Grown,/pd/40023476/fresho-potato-organically-grown-1-kg/
112,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,73.75,59.00,20,10000346,Banana - Nendran,/pd/10000346/fresho-banana-nendran-1-kg/
113,fruits-vegetables,Seasonal Fruits,Fresho,30.00,24.00,20,10000587,Raw Mango,/pd/10000587/fresho-raw-mango-500-g/
114,fruits-vegetables,Cucumber & Capsicum,Fresho,82.50,66.00,20,1202153,"Cucumber, Carrot & Beetroot 500g Each Salad",/pd/1202153/fresho-cucumber-carrot-beetroot-500g-each-salad-combo/
115,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,51.25,41.00,20,10000370,Guava,/pd/10000370/fresho-guava-500-g/
116,fruits-vegetables,Leafy Vegetables,Fresho,8.75,7.00,20,10000137,Mint Leaves,/pd/10000137/fresho-mint-leaves-100-g/
117,fruits-vegetables,Apples & Pomegranate,Fresho,272.50,218.00,20,1202322,"Pear - Green, Imported",/pd/1202322/fresho-pear-green-imported-2x4-pcs/
118,fruits-vegetables,Apples & Pomegranate,USA,221.25,177.00,20,1202331,"Pear - Green, Imported",/pd/1202331/usa-pear-green-imported-3x2-pcs/
119,fruits-vegetables,Apples & Pomegranate,Fresho,73.75,59.00,20,40048444,"Pear - Green, Imported",/pd/40048444/fresho-pear-green-imported-2-pcs/
120,fruits-vegetables,Apples & Pomegranate,Fresho,136.25,109.00,20,40048445,"Pear - Green, Imported",/pd/40048445/fresho-pear-green-imported-4-pcs/
121,fruits-vegetables,Apples & Pomegranate,Fresho,136.25,109.00,20,40048445,"Pear - Green, Imported",/pd/40048445/fresho-pear-green-imported-4-pcs/
122,fruits-vegetables,Organic Vegetables,Fresho,32.50,26.00,20,10000293,Amla,/pd/10000293/fresho-amla-250-g/
123,fruits-vegetables,"Banana, Sapota & Papaya",Fresho,40.00,32.00,20,10000181,Sapota,/pd/10000181/fresho-sapota-500-g/
124,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,100.00,80.00,20,20000911,Kiwi - Green,/pd/20000911/fresho-kiwi-green-3-pcs/
125,fruits-vegetables,Root Vegetables,Fresho,12.50,11.00,12,10000166,Radish - White,/pd/10000166/fresho-radish-white-500-g/
126,fruits-vegetables,Exotic Fruits,Fresho,100.00,80.00,20,10000013,Avocado,/pd/10000013/fresho-avocado-500-g/
127,fruits-vegetables,Leafy Vegetables,Fresho,17.50,14.00,20,20000981,Spring Onion,/pd/20000981/fresho-spring-onion-100-g/
128,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,83.75,67.00,20,1209679,Brinjal Bottle Shape 500 g + Cauliflower 1 pc + Cabbage 1 pc,/pd/1209679/fresho-brinjal-bottle-shape-500-g-cauliflower-1-pc-cabbage-1-pc-combo/
129,fruits-vegetables,Organic Vegetables,Fresho,10.00,8.00,20,50000511,"Chilli - Green, Organically Grown",/pd/50000511/fresho-chilli-green-organically-grown-100-g/
130,fruits-vegetables,"Potato, Onion & Tomato",Fresho,62.50,50.00,20,10000193,Sweet Potato,/pd/10000193/fresho-sweet-potato-1-kg/
131,fruits-vegetables,"Potato, Onion & Tomato",Fresho,32.50,26.00,20,10000194,Sweet Potato,/pd/10000194/fresho-sweet-potato-500-g/
132,fruits-vegetables,"Potato, Onion & Tomato",Fresho,17.50,14.00,20,10000195,Sweet Potato,/pd/10000195/fresho-sweet-potato-250-g/
133,fruits-vegetables,"Potato, Onion & Tomato",Fresho,32.50,26.00,20,10000194,Sweet Potato,/pd/10000194/fresho-sweet-potato-500-g/
134,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,163.75,131.00,20,20000909,"Orange - Imported, Regular",/pd/20000909/fresho-orange-imported-regular-4-pcs/
135,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,201.25,161.00,20,20000910,Orange - Imported,/pd/20000910/fresho-orange-imported-6-pcs/
136,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,201.25,161.00,20,20000910,Orange - Imported,/pd/20000910/fresho-orange-imported-6-pcs/
137,fruits-vegetables,Apples & Pomegranate,Fresho,277.50,222.00,20,1209665,Apple Shimla 4 pcs + Banana Robusta 1 kg + Watermelon Small + Papaya Medium 1 pc,/pd/1209665/fresho-apple-shimla-4-pcs-banana-robusta-1-kg-watermelon-small-papaya-medium-1-pc-combo/
138,fruits-vegetables,Mangoes,Fresho,125.00,100.00,20,10000304,Mallika Mango,/pd/10000304/fresho-mallika-mango-1-kg/
139,fruits-vegetables,Apples & Pomegranate,Fresho,186.25,149.00,20,40033823,"Apple - Royal Gala, Regular",/pd/40033823/fresho-apple-royal-gala-regular-4-pcs/
140,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,10.00,8.00,20,10000108,Drumstick,/pd/10000108/fresho-drumstick-100-g/
141,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,23.75,19.00,20,10000109,Drumstick,/pd/10000109/fresho-drumstick-250-g/
142,fruits-vegetables,"Gourd, Pumpkin, Drumstick",Fresho,23.75,19.00,20,10000109,Drumstick,/pd/10000109/fresho-drumstick-250-g/
143,fruits-vegetables,"Potato, Onion & Tomato",Fresho,23.75,19.00,20,10000178,Onion - Sambhar,/pd/10000178/fresho-onion-sambhar-250-g/
144,fruits-vegetables,Indian & Exotic Herbs,Fresho,12.50,10.00,20,10000104,Curry Leaves,/pd/10000104/fresho-curry-leaves-100-g/
145,fruits-vegetables,Cucumber & Capsicum,Fresho,11.25,9.00,20,10000091,Coccinia,/pd/10000091/fresho-coccinia-500-g/
146,fruits-vegetables,Root Vegetables,Fresho,26.25,21.00,20,10000271,Carrot - Ooty,/pd/10000271/fresho-carrot-ooty-500-g/
147,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,118.75,95.00,20,40105338,Mosambi - Economy,/pd/40105338/fresho-mosambi-economy-3-kg/
148,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,593.75,475.00,20,1203627,Mosambi Economy,/pd/1203627/fresho-mosambi-economy-5x3-kg/
149,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,593.75,475.00,20,1203627,Mosambi Economy,/pd/1203627/fresho-mosambi-economy-5x3-kg/
150,fruits-vegetables,Mangoes,Fresho,100.00,80.00,20,10000300,Raspuri/Gola Mango,/pd/10000300/fresho-raspurigola-mango-1-kg/
151,fruits-vegetables,Apples & Pomegranate,Fresho,123.75,99.00,20,40120006,Pomegranate - Small,/pd/40120006/fresho-pomegranate-small-1-kg/
152,fruits-vegetables,Apples & Pomegranate,Fresho,447.50,358.00,20,1203785,"Apple - Fuji, Regular",/pd/1203785/fresho-apple-fuji-regular-2x4-pcs/
153,fruits-vegetables,Apples & Pomegranate,Fresho,223.75,179.00,20,40033815,"Apple - Fuji, Regular",/pd/40033815/fresho-apple-fuji-regular-4-pcs/
